id,task_category,comments_category,comment_problem,comment_verb,comment_obj,aesthetics_rating,usability_rating,design_quality_rating,learnability,efficency
608,Media and content interaction,Text Readability,more readable font,uniform font style to be use consistently,current button size,6,6,6,3.0,3
620,Exploration and Navigation,Learnability,button or icon allow user to see current location,make,button or icon allow user to see current location,6,6,6,3.0,3
626,Accessing and managing information,Layout,text 's small size and low color contrast,change,spelling babsy,6,6,6,3.0,3
647,Media and content interaction,Layout,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment,6,6,6,3.0,3
650,Media and content interaction,Layout,purpose and function,thorough redesign,dark color scheme Bounding Box,6,6,6,3.0,3
651,Media and content interaction,Layout,purpose and function,separation,purpose and function,3,4,3,2.0,2
656,Accessing and managing information,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
668,Media and content interaction,Layout,prominently position back button,uniform font style to be use consistently,placeholder image or alternative visual content,6,6,6,3.0,3
671,Exploration and Navigation,Text Readability,more readable font,uniform font style to be use consistently,current button size,6,6,6,3.0,3
674,Location and Travel,Layout,facebook app,give,more control,5,5,5,3.0,2
677,Location and Travel,Text Readability,Select Destination City text,make,Select Destination City text,6,6,6,3.0,3
695,Customization of app settings and preferences,Text Readability,ranking text,make,positioning use design software to ensure alignment,6,6,6,3.0,3
701,Media and content interaction,Layout,separation line,increase,dark color scheme Bounding Box,6,6,6,3.0,3
705,Customization of app settings and preferences,Layout,positioning use design software to ensure alignment,uniform font style to be use consistently,positioning use design software to ensure alignment,3,4,3,2.0,2
734,Accessing and managing information,Text Readability,ranking text,make,ranking text,6,6,6,3.0,3
743,Accessing and managing information,Text Readability,ranking text,increase,ranking text,6,6,6,3.0,3
758,Exploration and Navigation,Layout,ranking text,increase,ranking text,6,6,6,3.0,3
774,User account management,Text Readability,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
788,Exploration and Navigation,Layout,breakfast icon,uniform font style to be use consistently,consistent style,6,6,6,3.0,3
794,User account management,Layout,more readable font,increase,more readable font,3,4,3,2.0,2
807,Exploration and Navigation,Layout,facebook app,reintroduce,text color contrast,6,5,6,2.0,3
823,Accessing and managing information,Layout,systematic arrangement,uniform font style to be use consistently,systematic arrangement,5,5,5,3.0,2
825,Exploration and Navigation,Usability of Buttons,positioning use design software to ensure alignment,add,placeholder image or alternative visual content,6,6,6,3.0,3
828,Customization of app settings and preferences,Layout,more readable font,uniform font style to be use consistently,current button size,6,6,6,3.0,3
852,Accessing and managing information,Layout,uneven padding,change,uneven padding,7,7,7,3.0,4
853,Accessing and managing information,Layout,color weight,change,color weight,4,4,4,2.0,2
873,Accessing and managing information,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
889,Exploration and Navigation,Text Readability,ranking text,increase,ranking text,6,6,6,3.0,3
894,Media and content interaction,Layout,purpose and function,align,purpose and function,3,4,3,2.0,2
921,Media and content interaction,Layout,current button size,increase,current button size,6,5,6,2.0,3
924,Accessing and managing information,Layout,text color contrast,uniform font style to be use consistently,text color contrast,6,5,6,2.0,3
927,Location and Travel,Text Readability,more readable font,uniform font style to be use consistently,current button size,6,6,6,3.0,3
933,Customization of app settings and preferences,Layout,clear and functional checkbox,add,scroll bar or way for user to navigate,3,4,3,2.0,2
945,User account management,Layout,ranking text,increase,current button size,3,4,3,2.0,2
969,Location and Travel,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
992,Exploration and Navigation,Layout,breakfast icon,uniform font style to be use consistently,unnecessarily large font,6,6,6,3.0,3
1027,Media and content interaction,Text Readability,positioning use design software to ensure alignment,revise,positioning use design software to ensure alignment,6,6,6,3.0,3
1039,Accessing and managing information,Text Readability,positioning use design software to ensure alignment,make,positioning use design software to ensure alignment,6,6,6,3.0,3
1063,Media and content interaction,Layout,more readable font,uniform font style to be use consistently,current button size,6,6,6,3.0,3
1066,Accessing and managing information,Text Readability,facebook app,thorough redesign,facebook app,5,4,5,2.0,2
1099,Media and content interaction,Usability of Buttons,facebook app,display,subscription message,6,6,6,3.0,3
1102,User account management,Usability of Buttons,information,emphasize,information,7,7,7,4.0,3
1106,Exploration and Navigation,Text Readability,button or icon allow user to see current location,uniform font style to be use consistently,unnecessarily large font,6,5,6,2.0,3
1129,Location and Travel,Text Readability,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment,6,6,6,3.0,3
1142,User account management,Text Readability,more readable font,uniform font style to be use consistently,unnecessarily large font,6,6,6,3.0,3
1145,Customization of app settings and preferences,Text Readability,ranking text,increase,ranking text,5,5,5,2.0,3
1152,Exploration and Navigation,Layout,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment,3,4,3,2.0,2
1168,Media and content interaction,Text Readability,button or icon allow user to see current location,make,designer,6,5,6,2.0,3
1223,Media and content interaction,Layout,purpose and function,separation,purpose and function,3,4,3,2.0,2
1228,User account management,Color Contrast,positioning use design software to ensure alignment,make,positioning use design software to ensure alignment,4,4,4,2.0,2
1235,User account management,Layout,more readable font,uniform font style to be use consistently,current button size,6,6,6,3.0,3
1241,User account management,Text Readability,ranking text,make,information,6,6,6,3.0,3
1262,Exploration and Navigation,Layout,ranking text,increase,ranking text,3,4,3,2.0,2
1273,Exploration and Navigation,Usability of Buttons,information,make,information,6,5,6,2.0,3
1297,Exploration and Navigation,Layout,Plus icon,omit,breakfast icon,2,4,4,2.0,3
1301,User account management,Learnability,positioning use design software to ensure alignment,revise,positioning use design software to ensure alignment,6,6,6,3.0,3
1307,Accessing and managing information,Layout,text and title,reintegrate,clear and prominent title,3,4,3,2.0,2
1334,Location and Travel,Layout,ranking text,be,same font size / type / color weight,6,6,6,3.0,3
1357,Location and Travel,Usability of Buttons,Plus icon,enlarge,breakfast icon,6,5,6,2.0,3
1383,Exploration and Navigation,Layout,brown button,uniform font style to be use consistently,text color contrast,6,6,6,3.0,3
1386,Exploration and Navigation,Layout,breakfast icon,uniform font style to be use consistently,unnecessarily large font,6,6,6,3.0,3
1392,Media and content interaction,Layout,text color contrast,uniform font style to be use consistently,"more common language , such",7,7,7,4.0,3
1401,Exploration and Navigation,Layout,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment,6,6,6,3.0,3
1411,User account management,Layout,purpose and function,align,purpose and function,3,4,3,2.0,2
1412,User account management,Layout,positioning use design software to ensure alignment,organize,positioning use design software to ensure alignment,6,5,6,2.0,3
1414,Customization of app settings and preferences,Layout,placeholder image or alternative visual content,uniform font style to be use consistently,placeholder image or alternative visual content,6,6,6,3.0,3
1420,User account management,Layout,uniform font style to be use consistently,change,text color contrast,6,6,6,3.0,3
1428,Accessing and managing information,Layout,information,organize,information,5,5,6,3.0,3
1444,Exploration and Navigation,Layout,current lack,prioritize,user-friendly menu system,3,4,3,2.0,2
1495,Exploration and Navigation,Layout,ranking text,add,placeholder image or alternative visual content,3,4,3,2.0,2
1515,Location and Travel,Layout,purpose and function,thorough redesign,ui,6,6,6,3.0,3
1522,User account management,Usability of Buttons,photo and name,remove,add,5,5,5,2.0,3
1536,Customization of app settings and preferences,Layout,more readable font,increase,current button size,6,6,6,3.0,3
1554,User account management,Layout,more readable font,uniform font style to be use consistently,current button size,6,6,6,3.0,3
1573,Media and content interaction,Layout,related content item,be,button or icon allow user to see current location,5,4,5,2.0,2
1587,User account management,Layout,more readable font,increase,current button size,6,6,6,3.0,3
