id,comment1_problem,comment1_solution_verb,comment1_solution_obj,comment2_problem,comment2_solution_verb,comment2_solution_obj,comment3_problem,comment3_solution_verb,comment3_solution_obj,comment4_problem,comment4_solution_verb,comment4_solution_obj,comment5_problem,comment5_solution_verb,comment5_solution_obj,comment6_problem,comment6_solution_verb,comment6_solution_obj,comment7_problem,comment7_solution_verb,comment7_solution_obj
2949,ranking text,increase,current button size,positioning use design software to ensure alignment,add,breakfast icon,breakfast icon,reintegrate,appropriate icon clearly represent function,positioning use design software to ensure alignment,reintegrate,menu option layout,more readable font,increase,more readable font,unknown,unknown,unknown,unknown,unknown,unknown
2950,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,button or icon allow user to see current location,enlarge,ranking text,current button size,increase,current button size,check-box,enlarge,check-box,button or icon allow user to see current location,increase,current button size,more readable font,increase,more readable font,unknown,unknown,unknown
2951,unknown,add,setting bar,current button size,uniform font style to be use consistently,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2952,ranking text,uniform font style to be use consistently,text color contrast,back arrow icon,consider,unknown,unknown,add,setting bar,Sweet and Othertext,align,ranking text,more readable font,uniform font style to be use consistently,more readable font,menu option layout,make,designer,unknown,unknown,unknown
2953,breakfast icon,reduce,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2954,separate background,choose,positioning use design software to ensure alignment,disabled option,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2955,unknown,unknown,unknown,ranking text,make,ranking text,unknown,reduce,repeat number,ranking text,increase,ranking text,unknown,remove,unknown,positioning use design software to ensure alignment,revise,positioning use design software to ensure alignment,unknown,unknown,unknown
2956,ranking text,uniform font style to be use consistently,current button size,button or icon allow user to see current location,add,button or icon allow user to see current location,purpose and function,consider,unknown,ranking text,increase,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2957,purpose and function,remove,button or icon allow user to see current location,uniform font style to be use consistently,uniform font style to be use consistently,more readable font,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2958,breakfast icon,change,text color contrast,button or icon allow user to see current location,consider,unknown,ranking text,make,ranking text,unknown,make,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2959,ranking text,increase,current button size,ranking text,change,text color contrast,current button size,increase,current button size,unknown,be,standardize,button or icon allow user to see current location,add,ranking text,current button size,increase,current button size,ui,make,ui
2960,unknown,uniform font style to be use consistently,proper hierarchy,unknown,ensure,unknown,cancel button,reintegrate,cancel button,header and sub header,ensure,systematic arrangement,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2961,ranking text,button place,current ad section,current button size,increase,current button size,ui,make,ui,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2962,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,try,unknown,breakfast icon,increase,setting bar,unknown,add,button or icon allow user to see current location,unknown,add,button or icon allow user to see current location,more readable font,uniform font style to be use consistently,current button size
2963,current button size,increase,current button size,unknown,increase,space element,location tab,be,clear layout and intuitive navigation,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2964,current button size,establish,current button size,positioning use design software to ensure alignment,uniform font style to be use consistently,more appropriate visual cue,positioning use design software to ensure alignment,uniform font style to be use consistently,more appropriate visual cue,positioning use design software to ensure alignment,uniform font style to be use consistently,more appropriate visual cue,positioning use design software to ensure alignment,uniform font style to be use consistently,more appropriate visual cue,button or icon allow user to see current location,move,button or icon allow user to see current location,unknown,unknown,unknown
2965,ranking text,increase,current button size,current button size,increase,current button size,unknown,add,button or icon allow user to see current location,unknown,thorough redesign,ui,unknown,thorough redesign,unknown,text color contrast,uniform font style to be use consistently,text color contrast,more readable font,uniform font style to be use consistently,current button size
2966,breakfast icon,add,breakfast icon,unknown,add,breakfast icon,"more common language , such",consider,unknown,current button size,consider,unknown,more readable font,uniform font style to be use consistently,current button size,positioning use design software to ensure alignment,uniform font style to be use consistently,positioning use design software to ensure alignment,unknown,unknown,unknown
2967,location tab,adjust,text color contrast,unknown,add,clear close icon,breakfast icon,ensure,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2968,ranking text,change,text color contrast,unknown,try,unknown,current button size,increase,current button size,unknown,thorough redesign,unknown,ranking text,increase,separate background,positioning use design software to ensure alignment,revise,positioning use design software to ensure alignment,unknown,unknown,unknown
2969,unknown,unknown,unknown,unknown,add,clear and prominent title,Games button,forgot passcode hyperlink,Games button,positioning use design software to ensure alignment,reintegrate,positioning use design software to ensure alignment,Games button,connect,Games button,unknown,unknown,unknown,unknown,unknown,unknown
2970,unknown,unknown,unknown,highlighted section,consider,unknown,text color contrast,consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2971,unknown,unknown,unknown,unknown,adjust,spacing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2972,heading,adjust,head color,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2973,button or icon allow user to see current location,add,button or icon allow user to see current location,ranking text,adjust,systematic arrangement,uniform font style to be use consistently,increase,separate background,uniform font style to be use consistently,increase,current button size,button or icon allow user to see current location,make,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2974,unknown,apply,consistent style,uniform font style to be use consistently,increase,separate background,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2975,ranking text,choose,text color contrast,current button size,increase,current button size,button or icon allow user to see current location,enlarge,ranking text,check box size,enlarge,checkboxe,uniform font style to be use consistently,increase,separate background,uniform font style to be use consistently,increase,current button size,button or icon allow user to see current location,make,unknown
2976,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,add,button or icon allow user to see current location,unknown,thorough redesign,unknown,map,increase,color weight,ranking text,increase,current button size,positioning use design software to ensure alignment,thorough redesign,setting page
2977,ranking text,increase,current button size,map,ensure,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
